"objid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","specobjid","class","redshift","plate","mjd","fiberid"
1.23765e+18,222.0882802,-0.79386132,18.64551,17.2639,16.71594,16.52033,16.46658,752,301,2,525,3.27528e+18,"STAR",-5.92e-05,2909,54653,138
1.23765e+18,160.9145395,1.076261922,19.52762,18.34265,18.41109,18.50452,18.4938,756,301,6,301,3.09722e+17,"STAR",0.000860139,275,51910,361
1.23765e+18,161.2734198,-0.996668901,16.82701,15.30022,14.73089,14.5436,14.44859,756,301,1,304,2.88125e+18,"STAR",3.98e-05,2559,54208,259
1.23765e+18,195.2203318,-3.447697716,19.54115,18.17978,17.51523,17.09204,16.89727,1140,301,1,282,3.81762e+17,"GALAXY",0.08384351,339,51692,297
1.23765e+18,167.7733091,0.32533649,19.3219,17.34101,16.38181,15.86445,15.58928,756,301,4,347,3.13143e+17,"GALAXY",0.09679831,278,51900,520
1.23765e+18,157.2549812,-0.108370551,18.8906,17.89754,17.59805,17.46548,17.39401,756,301,3,277,4.3145e+18,"STAR",0.00014573,3832,55289,192
1.23765e+18,144.6420695,0.702082068,19.1256,17.95891,17.77781,17.73873,17.72672,756,301,5,192,5.36087e+17,"STAR",0.001042861,476,52314,576
1.23765e+18,225.0975871,59.96042829,19.02697,17.56019,16.86668,16.4911,16.20644,1345,301,6,488,6.87992e+17,"GALAXY",0.03934216,611,52055,244
1.23765e+18,194.112492,0.048649969,19.56274,19.1496,19.08107,18.85149,18.82877,752,301,4,338,3.29952e+17,"QSO",1.61779,293,51689,232
1.23765e+18,199.3486283,67.073258,18.40613,16.5611,15.67238,15.21015,14.85081,1412,301,4,206,5.58563e+17,"GALAXY",0.06748982,496,51988,426
1.23765e+18,183.615732,0.856717595,15.64312,14.63566,14.40994,14.35015,14.33967,752,301,6,267,3.2328e+17,"STAR",0.000886851,287,52023,535
1.23765e+18,173.8674943,-0.915123639,17.34769,15.91897,15.41089,15.21466,15.1135,756,301,1,388,3.22236e+18,"STAR",-2.4e-05,2862,54471,131
1.23765e+18,221.0268903,-0.683674563,18.03252,16.86871,16.45892,16.2978,16.2526,752,301,2,517,3.27532e+18,"STAR",1.78e-05,2909,54653,291
1.23765e+18,134.4877862,54.04718054,17.77552,16.06083,15.37059,15.02544,14.79094,1345,301,4,182,5.05669e+17,"GALAXY",0.03748369,449,51900,510
1.23765e+18,193.0386042,-3.397205183,19.16988,19.1259,19.10582,18.89198,18.90187,1140,301,1,268,3.79464e+17,"QSO",1.682197,337,51997,131
1.23765e+18,163.196202,-0.558605762,19.17479,17.89366,17.37101,17.16031,17.06594,756,301,2,316,2.68979e+18,"STAR",0.000790222,2389,54213,40
1.23765e+18,242.5625403,1.190245117,18.42238,18.22688,18.16234,18.02632,17.98409,745,301,6,560,3.88559e+17,"QSO",1.92721,345,51690,449
1.23765e+18,160.6192059,-0.117873145,17.91615,16.14398,15.44278,15.17762,15.06172,756,301,3,299,2.68979e+18,"GALAXY",0,2389,54213,44
1.23765e+18,133.782391,53.82157681,19.44808,18.07089,17.4257,17.06341,16.94968,1345,301,4,179,5.05648e+17,"GALAXY",0.1451204,449,51900,434
1.23765e+18,185.9914117,0.87771335,18.27264,16.49134,15.65971,15.26748,14.91777,752,301,6,283,3.24427e+17,"GALAXY",0.06206015,288,52000,609
1.23765e+18,186.8594766,-0.864566232,18.09883,17.18917,16.90491,16.69702,16.58069,756,301,1,474,3.2542e+17,"GALAXY",0.04050918,289,51990,126
1.23765e+18,168.4271875,-0.13211617,19.41237,17.29939,16.23182,15.7607,15.39121,756,301,3,351,3.13006e+17,"GALAXY",0.1094026,278,51900,21
1.23765e+18,151.2658987,0.743215271,19.48026,17.69214,16.71715,16.30135,15.93822,756,301,5,237,3.03024e+17,"GALAXY",0.09780461,269,51910,571
1.23765e+18,118.6344762,43.64180407,19.2381,17.2114,16.22573,15.79502,15.42045,1350,301,3,92,4.9095e+17,"GALAXY",0.1036076,436,51883,209
1.23765e+18,221.9699981,-0.80784221,17.63213,16.59753,16.29598,16.20835,16.20682,752,301,2,524,3.27528e+18,"STAR",7.01e-06,2909,54653,133
1.23765e+18,183.5237166,-3.494828496,19.22257,18.21669,17.85503,17.7213,17.70744,1140,301,1,204,3.73803e+17,"STAR",0.000575686,332,52367,15
1.23765e+18,128.1716521,53.58389918,17.45664,16.26367,15.86557,15.71626,15.66966,1350,301,5,170,2.62455e+18,"STAR",0.000154755,2331,53742,279
1.23765e+18,186.3988992,-1.071354122,19.24024,17.59986,17.0181,16.78427,16.66175,752,301,1,286,2.88008e+18,"STAR",0.000107798,2558,54140,98
1.23765e+18,139.2084727,0.572712779,17.50914,15.79965,14.98409,14.53285,14.19794,1239,301,5,126,5.31574e+17,"GALAXY",0.02839938,472,51955,542
1.23765e+18,136.1106269,54.96822109,19.10161,17.11251,16.14916,15.73485,15.38584,1345,301,4,191,5.0671e+17,"GALAXY",0.1194043,450,51908,199
1.23765e+18,185.3755664,-1.116272375,17.27085,16.35222,16.06819,15.98103,15.95781,752,301,1,279,2.88012e+18,"STAR",0.000286916,2558,54140,241
1.23765e+18,184.9942751,0.109160933,17.7019,16.76073,16.48746,16.38173,16.33654,752,301,4,277,2.88016e+18,"STAR",0.000704736,2558,54140,400
