"","year_harvest","yield_anomaly","NUMD","IRR","ETP_1","ETP_2","ETP_3","ETP_4","ETP_5","ETP_6","ETP_7","ETP_8","ETP_9","PR_1","PR_2","PR_3","PR_4","PR_5","PR_6","PR_7","PR_8","PR_9","RV_1","RV_2","RV_3","RV_4","RV_5","RV_6","RV_7","RV_8","RV_9","SeqPR_1","SeqPR_2","SeqPR_3","SeqPR_4","SeqPR_5","SeqPR_6","SeqPR_7","SeqPR_8","SeqPR_9","Tn_1","Tn_2","Tn_3","Tn_4","Tn_5","Tn_6","Tn_7","Tn_8","Tn_9","Tx_1","Tx_2","Tx_3","Tx_4","Tx_5","Tx_6","Tx_7","Tx_8","Tx_9"
"875",50,0.182503779806423,16,3,0.682472,1.29311,1.69962,2.44748,3.14399,4.20854,4.59757,3.93645,2.58523,3.3387,1.33642,3.40051,3.20121,3.12178,2.72687,0.701155,2.53601,2.01573,56.6472,108.375,133.886,179.152,206.104,255.254,268.702,231.74,171.495,0.63885,0.302474,0.667251,0.544928,0.649719,0.412319,0.31136,0.5,0.419203,4.01311,3.30506,4.48265,5.97894,11.4019,13.5784,13.9428,13.7899,9.26988,10.1234,13.1622,10.7583,13.9877,19.954,22.4562,24.2189,23.6961,20.1262
"4496",33,-0.384578376405221,83,3,0.432387,0.62381,1.43102,2.39696,3.13113,2.94998,3.6519,3.72984,2.3379,2.26508,0.725814,1.32919,1.5126,1.01306,2.83082,2.3119,0.259719,1.4876,36.6339,61.2459,103.051,174.819,210.972,188.582,207.669,208.297,141.125,0.483552,0.387907,0.522517,0.40066,0.370489,0.753795,0.501118,0.103481,0.372607,1.39737,-2.26361,5.3829,4.04842,6.51062,9.77738,13.6555,12.8986,10.9617,5.25254,2.59379,12.2189,12.6402,13.7359,16.064,21.3142,23.6133,21.0558
"3460",57,-3.12400550988676,64,1,0.284586,0.478381,1.20435,2.30868,2.4877,3.6113,4.5521,3.16281,1.76075,3.17844,1.47487,1.58871,1.88827,2.00461,1.30642,0.821758,1.81981,3.32283,26.8884,64.4869,125.18,190.489,188.177,232.941,252.628,192.328,138.627,0.694909,0.423408,0.310921,0.238153,0.41197,0.212851,0.342402,0.343956,0.455422,0.249348,-1.28873,0.671565,4.25886,8.53596,11.7267,15.6567,15.5681,9.33011,4.21618,4.53739,10.1261,14.7061,17.2825,22.0111,26.6244,25.4657,17.2345
"2684",23,0.342588115467552,50,3,0.30402,0.42617,0.780732,1.71382,1.8548,3.44557,3.22779,3.02972,1.44657,5.54463,1.86111,4.43024,1.17716,4.74009,2.88229,4.82243,0.980471,5.90783,63.5223,86.946,98.4661,176.276,168.233,254.391,236.142,239.207,140.082,0.420677,0.290398,0.624273,0.215847,0.592015,0.198634,0.420412,0.174775,0.465574,-5.19066,-4.36061,2.28556,3.82441,6.79639,10.0475,11.352,11.7793,10.3902,0.150477,1.8935,9.13836,12.9452,14.165,18.9474,19.8015,21.7915,18.0109
"1630",35,1.33621036579399,30,5,0.298557,0.459541,1.45015,1.88462,2.54718,3.47661,3.2489,3.43618,1.74357,2.09834,0.630215,0.0867038,2.86569,2.84772,1.85189,1.11739,0.311044,2.76489,35.0342,55.8949,133.563,139.972,174.959,213.612,194.671,208.53,116.385,0.567204,0.199033,0.000672043,0.598611,0.490591,0.335764,0.330645,0.109207,0.573264,3.44603,0.109718,1.80645,6.4456,9.61224,12.3213,12.4161,10.7117,9.49472,8.15745,4.14919,10.9355,14.4118,17.2658,20.9065,20.9661,22.6803,17.8078
"1967",37,1.21484263703528,36,3,0.978619,0.916539,1.82291,2.07887,2.93823,3.7642,4.47725,3.03536,1.96153,0.723137,1.11573,1.19831,3.25134,2.3666,0.348761,0.527562,3.05838,2.41643,78.7223,106.1,166.391,190.904,227.463,267.586,280.489,205.4,153.923,0.304086,0.170476,0.246882,0.334222,0.313548,0.180889,0.145806,0.535054,0.396,2.25201,4.94691,3.52946,6.60432,10.1634,12.5479,18.4799,17.0785,12.5306,8.60335,12.4808,11.728,14.4203,17.708,20.8284,26.4588,24.4734,20.0928
"643",33,-0.229409695722914,12,4,0.612225,0.580709,1.17101,2.1135,3.06854,3.0235,4.17537,3.83467,2.31211,1.76088,0.708396,1.2488,0.923146,0.967129,2.32488,2.54479,0.259978,3.27565,48.4495,81.2389,111.877,178.553,230.258,204.899,255.282,238.431,160.045,0.446452,0.340952,0.345376,0.357778,0.350108,0.643556,0.27828,0.12043,0.307556,0.149379,-4.49255,4.1807,3.67589,6.76707,11.5373,15.9208,14.7018,11.5799,3.91246,1.6467,11.7535,13.5307,15.3312,18.5881,25.2877,26.2627,21.7142
"4757",28,3.56286753106971,88,3,1.29091,0.928861,1.724,1.9438,3.4418,4.28568,4.68339,4.43033,2.48068,5.60292,3.97504,0.971984,5.07645,0.473745,0.914625,0.935,1.96209,2.29954,66.4061,79.9851,137.278,147.009,231.21,267.93,278.668,259.611,181.972,0.325976,0.442481,0.144312,0.449825,0.169779,0.205614,0.172835,0.108659,0.213333,2.43893,0.70594,4.25275,7.03107,13.09,14.7001,17.413,16.9767,14.1216,8.32167,6.857,12.9956,13.6154,21.6491,23.7949,27.1554,27.3585,23.6184
"3891",45,-0.188595185391948,72,2,0.513934,0.8063,1.46741,2.3855,2.78169,3.31371,3.65317,3.53581,2.19514,2.908,0.878721,1.23169,1.52379,2.20406,2.4318,2.24773,1.41849,0.777025,37.8182,79.9984,120.013,169.713,181.764,200.859,212.78,202.005,143.255,0.647332,0.238324,0.336228,0.322115,0.51861,0.476923,0.39299,0.16098,0.296795,0.988695,-0.0890397,3.8605,5.1212,9.18396,13.073,14.1838,14.9833,9.62852,5.35121,6.19468,12.0388,14.5244,16.1169,21.1129,22.2106,24.8157,20.9805
"2456",23,0.971194102640703,46,3,1.0198,1.01818,1.24886,2.10404,2.24649,4.45087,4.30381,3.9607,2.03336,2.414,3.66635,3.56125,1.37741,2.80136,3.46155,0.548579,0.162416,1.71165,72.7682,100.441,107.181,167.612,159.721,262.589,246.097,245.911,143.141,0.228831,0.180804,0.422379,0.298611,0.383737,0.104167,0.200941,0.0302419,0.4375,2.13291,1.69926,7.28922,8.88534,10.6204,15.4989,16.3637,17.4872,15.1665,7.87749,7.56121,12.3917,15.7265,16.1982,22.7225,22.907,26.0896,22.3413
